name	url	id	slug	picture_url	price	score_general	score_games	score_mobility	weight	power_adapter_power	operating_system_family_name	screen_size_value	screen_resolution_unicode	screen_rr_value	battery_mwh	default_bucket	processor_unicode	processor_f_value	processor_thread_count_name	processor_p_core_count	processor_thread_count	processor_tdp	processor_speed_score	main_gpu_name	main_gpu_speed_score	ram_quantity_value	ram_frequency_value	ram_type_name	sd_capacity_value	sd_rpm_value	sd_drive_type_name	storage_drives_count	gpus_count
ASUS E1404GA-NK322WS [90NB0ZW2-M005N0]	https://publicapi.solotodo.com/products/226712/	226712	asus-e1404ga-nk322ws-90nb0zw2-m005n0	https://media.solotodo.com/media/products/1779055_picture_1688907686.jpg	698900	186	112	643	1380	0	Windows 11	14.0	1920x1080	60	42000	1849828	Intel Core i3-N305	1800	Octa-core	0	8	15.0	10260	Intel UHD Graphics 770 (Alder Lake) (Integrada)	2768	8.0	3200	DDR4	512	0	SSD	1	1
ASUS VivoBook Pro 15 OLED N6506MV-MA027W (16 GB RAM) [90NB12Y3-M00150]	https://publicapi.solotodo.com/products/243677/	243677	asus-vivobook-pro-15-oled-n6506mv-ma027w-16-gb-ram-90nb12y3-m00150	https://media.solotodo.com/media/products/1913426_picture_1715612914.png	1745990	489	661	400	1800	200	Windows 11	15.6	2880x1620	120	75000	1913455	Intel Core Ultra 9 185H	3900	icosidyo-core	6	22	45.0	29239	NVIDIA GeForce RTX 4060 (8 GB)	27681	16.0	5600	LPDDR5	1000	0	SSD	1	2
HP 348 G7 [2E4U1LT]	https://publicapi.solotodo.com/products/95838/	95838	hp-348-g7-2e4u1lt	https://media.solotodo.com/media/products/1302444_picture_1610637034.jpg	269990	79	51	625	1500	45	Windows 10	14.0	1366x768	60	41000	1307757	Intel Core i3-10110U	2100	Quad-core	2	4	15.0	4110	Intel UHD Graphics 630 (Integrada)	1325	4.0	2666	DDR4	1000	5400	HDD	1	1
Dell Latitude 5430 14 [JJP9K]	https://publicapi.solotodo.com/products/150876/	150876	dell-latitude-5430-14-jjp9k	https://media.solotodo.com/media/products/1626657_picture_1658509592.jpg	719990	254	150	646	1360	65	Windows 10	14.0	1366x768	60	58000	1642856	Intel Core i5-1235U	900	Dodeca-core	2	12	15.0	15354	Intel Iris Xe Graphics G7 80EUs (Integrada)	3816	8.0	3200	DDR4	256	0	SSD	1	1
Lenovo Legion Pro 7 16IRX9H [83DE000PCL]	https://publicapi.solotodo.com/products/235046/	235046	lenovo-legion-pro-7-16irx9h-83de000pcl	https://media.solotodo.com/media/products/1876894_picture_1707232528.jpg	2949990	792	926	157	2620	330	Windows 11	16.0	2560x1600	240	99900	1885103	Intel Core i9-14900HX	1600	Dotriaconta	8	32	55.0	44441	NVIDIA GeForce RTX 4080 (12 GB)	42047	32.0	5600	DDR5	1000	0	SSD	1	2
HP 250 G10 (I5-1334U / 16 GB / SSD 512 GB)	https://publicapi.solotodo.com/products/251460/	251460	hp-250-g10-i5-1334u-16-gb-ssd-512-gb	https://media.solotodo.com/media/products/1658150_picture_1666787314.png	549990	272	166	542	1520	45	Windows 11	15.6	1366x768	60	41000	1938364	Intel Core i5-1334U	900	Dodeca-core	2	12	15.0	12973	Intel Iris Xe Graphics G7 80EUs (Integrada)	3816	16.0	3200	DDR4	512	0	SSD	1	1
Lenovo ThinkPad T14 Gen 2 (20XLS0AD00 / 512 GB SSD / 16 GB / 11H / Inglés)	https://publicapi.solotodo.com/products/246312/	246312	lenovo-thinkpad-t14-gen-2-20xls0ad00-512-gb-ssd-16-gb-11h-ingles	https://media.solotodo.com/media/products/1607354_picture_1654152604.jpg	670000	355	161	617	1550	65	Windows 11	14.0	1920x1080	60	50000	1921931	AMD Ryzen 7 PRO 5850U	1900	Hexadeca-core	8	16	15.0	19188	AMD Radeon RX Vega 8 (Integrada)	2335	16.0	3200	DDR4	512	0	SSD	1	1
MSI Cyborg 15 A13VE-218	https://publicapi.solotodo.com/products/245785/	245785	msi-cyborg-15-a13ve-218	https://media.solotodo.com/media/products/1920367_picture_1717078495.webp	1199990	462	578	373	1980	120	Windows 11	15.6	1920x1080	144	53500	1920367	Intel Core i7-13620H	2400	Hexadeca-core	6	16	45.0	27188	NVIDIA GeForce RTX 4050 (6 GB)	23362	16.0	5200	DDR5	512	0	SSD	1	2
Acer Nitro V 15 ANV15-41-R0SZ-2 [NH.QPDAL.001.2]	https://publicapi.solotodo.com/products/252407/	252407	acer-nitro-v-15-anv15-41-r0sz-2-nhqpdal0012	https://media.solotodo.com/media/products/1941970_picture_1722947407.jpg	1212490	525	648	325	2300	0	Windows 11	15.6	1920x1080	144	57000	1941970	AMD Ryzen 7 7735HS	3200	Hexadeca-core	8	16	35.0	24398	NVIDIA GeForce RTX 4060 (8 GB)	27681	32.0	5600	DDR5	1000	0	SSD	1	2
HP Pavilion Gaming 16-A0001LA (165G0LA / 16 GB RAM)	https://publicapi.solotodo.com/products/254276/	254276	hp-pavilion-gaming-16-a0001la-165g0la-16-gb-ram	https://media.solotodo.com/media/products/1214264_picture_1597332584.jpg	499990	218	253	290	2360	150	Windows 10	16.1	1920x1080	60	52500	1955972	Intel Core i5-10300H	2500	Octa-core	4	8	45.0	8901	NVIDIA GeForce GTX 1650 (4 GB)	9317	16.0	2933	DDR4	512	0	SSD	1	2
